QTYRANK,DOLLARRANK,INDEX,ITEM CODE,DESCRIPTION,PRICE,VENDOR,Month,CreativeTeam,Writer,InteriorArtist,CoverArtist,WriterIsArtist,WriterIsCoverArtist,ArtistIsCoverArtist,Volume,CreatorOwned
51,68,1.44,APR178674,PREDATOR VS JUDGE DREDD VS ALIENS SPLICE & DICE,17.99,Dark Horse,2017-10-01,(W) John Layman (A) Chris Mooneyham (CA) Glenn Fabry,John Layman,Chris Mooneyham,Glenn Fabry,False,False,False,1.0,False
52,63,1.43,JUN170045,SHAOLIN COWBOY,19.99,Dark Horse,2017-10-01,(W) Geof Darrow (A/CA) Geof Darrow,Geof Darrow,Geof Darrow,Geof Darrow,False,False,True,1.0,True
53,94,1.41,JUN170359,SUPERMAN & MISERABLE ROTTEN NO FUN REALLY BAD DAY,14.99,DC,2017-10-01,(W) Dave Croatto (A/CA) Tom Richmond,Dave Croatto,Tom Richmond,Tom Richmond,False,False,True,1.0,False
54,84,1.4,JUL170460,NEW SUPER MAN,16.99,DC,2017-10-01,"(W) Gene Luen Yang (A) Billy Tan, Jonathan Glapion (A/CA) Viktor Bogdanovic",Gene Luen Yang,"Billy Tan, Jonathan Glapion,Viktor Bogdanovic",Viktor Bogdanovic,False,False,True,2.0,False
55,126,1.37,FEB170063,LEGEND OF KORRA,10.99,Dark Horse,2017-10-01,(W) Michael Dante Dimartino (A) Irene Koh (CA) Heather Campbell,Michael Dante Dimartino,Irene Koh,Heather Campbell,False,False,False,1.0,False
56,6,1.36,MAY170351,SWAMP THING THE BRONZE AGE OMNIBUS,99.99,DC,2017-10-01,"(W) Len Wein, David Michelinie, Gerry Conway, Martin Pasko, Bruce Jones, Wes Craven, David Anthony Kraft (A) Bernie Wrightson, Nestor Redondo, Tom Yeates, Jan Duursema, Tom Mandrake, Stephen R. Bissette, Michael William Kaluta, Mark Texeira, John Totleben, Tony DeZuniga, Fred Carrillo (CA) Karl Kerschl","Len Wein, David Michelinie, Gerry Conway, Martin Pasko, Bruce Jones, Wes Craven, David Anthony Kraft","Bernie Wrightson, Nestor Redondo, Tom Yeates, Jan Duursema, Tom Mandrake, Stephen R. Bissette, Michael William Kaluta, Mark Texeira, John Totleben, Tony DeZuniga, Fred Carrillo",Karl Kerschl,False,False,False,1.0,False
57,98,1.36,JAN170850,SAGA,14.99,Image,2017-10-01,(W) Brian K. Vaughan (A/CA) Fiona Staples,Brian K. Vaughan,Fiona Staples,Fiona Staples,False,False,True,7.0,True
58,5,1.31,APR171129,THOR BY WALTER SIMONSON OMNIBUS,125.0,Marvel,2017-10-01,(W) Walter Simonson (A) Sal Buscema (A/CA) Walter Simonson,Walter Simonson,"Sal Buscema,Walter Simonson",Walter Simonson,False,False,True,1.0,False
59,79,1.31,JUN170036,HARROW COUNTY,17.99,Dark Horse,2017-10-01,(W) Cullen Bunn (A/CA) Tyler Crook,Cullen Bunn,Tyler Crook,Tyler Crook,False,False,True,6.0,True
60,30,1.3,JUL171231,TOMB OF DRACULA COMPLETE COLLECTION,39.99,Marvel,2017-10-01,"(W) Gerry Conway, Archie Goodwin, Gardner Fox, Marv Wolfman, Roy Thomas, Steve Gerber, Tony Isabella (A) Gene Colan, Alan Weiss, Rich Buckler, Jim Starlin, John Buscema, Alfonso Font, Mike Ploog, Dick Ayers, Vicente Alcazar (A/CA) Neal Adams","Gerry Conway, Archie Goodwin, Gardner Fox, Marv Wolfman, Roy Thomas, Steve Gerber, Tony Isabella","Gene Colan, Alan Weiss, Rich Buckler, Jim Starlin, John Buscema, Alfonso Font, Mike Ploog, Dick Ayers, Vicente Alcazar,Neal Adams",Neal Adams,False,False,True,1.0,False
