QTYRANK,DOLLARRANK,INDEX,ITEM CODE,DESCRIPTION,PRICE,VENDOR,Month,CreativeTeam,Writer,InteriorArtist,CoverArtist,WriterIsArtist,WriterIsCoverArtist,ArtistIsCoverArtist,Volume,CreatorOwned
1,1,23.35,JAN170850,SAGA,14.99,Image,2017-03-01,(W) Brian K. Vaughan (A/CA) Fiona Staples,Brian K. Vaughan,Fiona Staples,Fiona Staples,False,False,True,7.0,True
2,2,19.42,AUG168569,WALKING DEAD,14.99,Image,2017-03-01,"(W) Robert Kirkman (A) Stefano Gaudiano, Cliff Rathburn (CA) Dave Stewart (A/CA) Charlie Adlard",Robert Kirkman,"Stefano Gaudiano, Cliff Rathburn,Charlie Adlard","Dave Stewart,Charlie Adlard",False,False,True,27.0,True
3,6,5.99,DEC160373,HARLEY QUINN,16.99,DC,2017-03-01,"(W) Amanda Conner, Jimmy Palmiotti (A) Chad Hardin, John Timms, Bret Blevins, Joseph Michael Linsner, Jill Thompson (CA) Amanda Conner","Amanda Conner, Jimmy Palmiotti","Chad Hardin, John Timms, Bret Blevins, Joseph Michael Linsner, Jill Thompson",Amanda Conner,False,False,False,1.0,False
4,7,5.91,DEC160375,SUICIDE SQUAD,16.99,DC,2017-03-01,"(W) Rob Williams (A) Philip Tan, Jason Fabok, Ivan Reis, Gary Frank, Oclair Albert, Jonathan Glapion, Scott Hanna, Sandu Florea, Sandra Hope, Trevor Scott (A/CA) Jim Lee, Scott Williams",Rob Williams,"Philip Tan, Jason Fabok, Ivan Reis, Gary Frank, Oclair Albert, Jonathan Glapion, Scott Hanna, Sandu Florea, Sandra Hope, Trevor Scott,Jim Lee, Scott Williams","Jim Lee, Scott Williams",False,False,True,1.0,False
5,10,5.44,DEC161096,DEATH OF X,17.99,Marvel,2017-03-01,"(W) Jeff Lemire, Charles Soule (A/CA) Aaron Kuder","Jeff Lemire, Charles Soule",Aaron Kuder,Aaron Kuder,False,False,True,1.0,False
6,11,4.86,DEC160376,TITANS,16.99,DC,2017-03-01,"(W) Dan Abnett (A) Marc Derring (A/CA) Brett Booth, Norm Rapmund",Dan Abnett,"Marc Derring,Brett Booth, Norm Rapmund","Brett Booth, Norm Rapmund",False,False,True,1.0,False
7,5,4.38,JUL100692,WOLVERINE OLD MAN LOGAN,29.99,Marvel,2017-03-01,(W) Mark Millar (A/CA) Steve McNiven,Mark Millar,Steve McNiven,Steve McNiven,False,False,True,1.0,False
8,13,4.03,DEC160372,DEATHSTROKE,16.99,DC,2017-03-01,"(W) Christopher Priest (A) Carlo Pagulayan, Jason Paz, Joe Bennett, Mark Morales, Belardino Brabo, Larry Hama (CA) Aco",Christopher Priest,"Carlo Pagulayan, Jason Paz, Joe Bennett, Mark Morales, Belardino Brabo, Larry Hama",Aco,False,False,False,1.0,False
9,15,3.74,DEC160370,BATGIRL,16.99,DC,2017-03-01,(W) Hope Larson (A/CA) Rafael Albuquerque,Hope Larson,Rafael Albuquerque,Rafael Albuquerque,False,False,True,1.0,False
10,27,3.43,JAN170822,DEADLY CLASS,14.99,Image,2017-03-01,(W) Rick Remender (A/CA) Wesley Craig,Rick Remender,Wesley Craig,Wesley Craig,False,False,True,5.0,True
11,30,3.0,DEC160374,HELLBLAZER,16.99,DC,2017-03-01,"(W) Simon Oliver (A) Pia Guerra, Jos? Marzan (A/CA) Moritat",Simon Oliver,"Pia Guerra, Jos? Marzan,Moritat",Moritat,False,False,True,1.0,False
12,32,3.0,NOV160051,BLACK HAMMER,14.99,Dark Horse,2017-03-01,(W) Jeff Lemire (A/CA) Dean Ormston,Jeff Lemire,Dean Ormston,Dean Ormston,False,False,True,1.0,True
13,34,2.83,JUN131298,MARCH,14.95,IDW,2017-03-01,"(W) John Lewis, Andrew Aydin (A/CA) Nate Powell","John Lewis, Andrew Aydin",Nate Powell,Nate Powell,False,False,True,1.0,True
14,31,2.83,OCT160686,INVINCIBLE,16.99,Image,2017-03-01,(W) Robert Kirkman (A/CA) Cory Walker,Robert Kirkman,Cory Walker,Cory Walker,False,False,True,23.0,True
15,80,2.77,JAN172162,ONE PUNCH MAN,9.99,Viz,2017-03-01,(W) One (A/CA) Yusuke Murata,One,Yusuke Murata,Yusuke Murata,False,False,True,11.0,True
16,16,2.77,JUN160408,MARCH,19.99,IDW,2017-03-01,"(W) Andrew Aydin, John Lewis (A/CA) Nate Powell","Andrew Aydin, John Lewis",Nate Powell,Nate Powell,False,False,True,3.0,True
17,81,2.73,JAN172159,LEGEND OF ZELDA TWILIGHT PRINCESS,9.99,Viz,2017-03-01,(W) Akira Himekawa (A/CA) Akira Himekawa,Akira Himekawa,Akira Himekawa,Akira Himekawa,False,False,True,1.0,True
18,18,2.7,NOV141657,MARCH,19.95,IDW,2017-03-01,"(W) John Lewis, Andrew Aydin (A/CA) Nate Powell","John Lewis, Andrew Aydin",Nate Powell,Nate Powell,False,False,True,2.0,True
19,29,2.66,JAN171219,ANIMOSITY,14.99,Aftershock,2017-03-01,(W) Marguerite Bennett (A) Juan Doe (A/CA) Rafael de Latorre,Marguerite Bennett,"Juan Doe,Rafael de Latorre",Rafael de Latorre,False,False,True,1.0,True
20,220,2.55,MAY120746,HULK SEASON ONE PREM,24.99,Marvel,2017-03-01,(W) Fred Van Lente (A) Tom Fowler (CA) Julian Totino Tedesco,Fred Van Lente,Tom Fowler,Julian Totino Tedesco,False,False,False,1.0,False
21,44,2.47,DEC161094,DEADPOOL TOO SOON,17.99,Marvel,2017-03-01,"(W) Joshua Corin (A) Todd Nauck (CA) Pepe Larraz, Daniel Curiel",Joshua Corin,Todd Nauck,"Pepe Larraz, Daniel Curiel",False,False,False,1.0,False
22,46,2.46,JUN160964,KARNAK,17.99,Marvel,2017-03-01,"(W) Warren Ellis (A) Gerardo Zaffino, Antonio Fuso, Roland Boschi (CA) David Aja",Warren Ellis,"Gerardo Zaffino, Antonio Fuso, Roland Boschi",David Aja,False,False,False,1.0,False
23,51,2.45,JAN171401-M,SABAN POWER RANGERS AFTERSHOCK MOVIE,14.99,Boom!,2017-03-01,"(W) Ryan Parrott, Kyle Higgins (A) Lucas Werneck, Hendry Prasetya (CA) Photo","Ryan Parrott, Kyle Higgins","Lucas Werneck, Hendry Prasetya",Photo,False,False,False,1.0,False
24,50,2.43,DEC160395,FLINTSTONES,16.99,DC,2017-03-01,(W) Mark Russell (A/CA) Steve Pugh,Mark Russell,Steve Pugh,Steve Pugh,False,False,True,1.0,False
25,105,2.39,AUG120491,SAGA,9.99,Image,2017-03-01,(W) Brian K. Vaughan (A/CA) Fiona Staples,Brian K. Vaughan,Fiona Staples,Fiona Staples,False,False,True,1.0,True
26,41,2.3,DEC160384,DC COMICS BOMBSHELLS,19.99,DC,2017-03-01,"(W) Marguerite Bennett (A) Mirka Andolfo, Laura Braga, Sandy Jarrell, Pasquale Qualano (CA) Ant Lucia",Marguerite Bennett,"Mirka Andolfo, Laura Braga, Sandy Jarrell, Pasquale Qualano",Ant Lucia,False,False,False,3.0,False
27,61,2.28,DEC160371,CYBORG,16.99,DC,2017-03-01,"(W) John Semper Jr. (A) Paul Pelletier, Tony Kordos, Timothy Green, Allan Jefferson, Derec Donovan, Sandra Hope, Scott Hanna, Tom Palmer, Joseph Silver (A/CA) Will Conrad",John Semper Jr.,"Paul Pelletier, Tony Kordos, Timothy Green, Allan Jefferson, Derec Donovan, Sandra Hope, Scott Hanna, Tom Palmer, Joseph Silver,Will Conrad",Will Conrad,False,False,True,1.0,False
27,54,2.28,JAN171116,SPIDER-MAN MILES MORALES,17.99,Marvel,2017-03-01,(W) Brian Michael Bendis (A) Nico Leon (A/CA) Sara Pichelli,Brian Michael Bendis,"Nico Leon,Sara Pichelli",Sara Pichelli,False,False,True,2.0,False
29,67,2.19,DEC161097,UNBEATABLE SQUIRREL GIRL,15.99,Marvel,2017-03-01,"(W) Ryan North, Will Murray (A/CA) Erica Henderson","Ryan North, Will Murray",Erica Henderson,Erica Henderson,False,False,True,5.0,False
30,35,2.12,JAN171227,HILLBILLY,17.99,Albatross Funnybooks,2017-03-01,(W) Eric Powell (A/CA) Eric Powell,Eric Powell,Eric Powell,Eric Powell,False,False,True,1.0,True
31,189,2.11,NOV160058,DARK HORSE NUMBER ONES,6.0,Dark Horse,2017-03-01,"(W) Cullen Bunn, Matt Kindt, Gerard Way, Jo?lle Jones, Jamie S. Rich, Kurtis J. Wiebe, Mike Mignola, Jeff Lemire, Brian Wood (A/CA) Matt Kindt, Jo?lle Jones, Mike Mignola, Tyler Crook, Dean Ormston, Mack Chater, Gabriel Ba, Mindy Lee","Cullen Bunn, Matt Kindt, Gerard Way, Jo?lle Jones, Jamie S. Rich, Kurtis J. Wiebe, Mike Mignola, Jeff Lemire, Brian Wood","Matt Kindt, Jo?lle Jones, Mike Mignola, Tyler Crook, Dean Ormston, Mack Chater, Gabriel Ba, Mindy Lee","Matt Kindt, Jo?lle Jones, Mike Mignola, Tyler Crook, Dean Ormston, Mack Chater, Gabriel Ba, Mindy Lee",False,False,True,1.0,True
32,3,2.07,SEP161119-M,SHANG-CHI MASTER OF KUNG FU OMNIBUS,125.0,Marvel,2017-03-01,"(W) Doug Moench (A) Mike Zeck, Gene Day, Rick Hoberg (CA) Mike Deodato",Doug Moench,"Mike Zeck, Gene Day, Rick Hoberg",Mike Deodato,False,False,False,3.0,False
33,185,2.06,APR082188,SWORD,14.99,Image,2017-03-01,(W) Joshua Luna (A) Joshua Luna (A/CA) Jonathan Luna,Joshua Luna,"Joshua Luna,Jonathan Luna",Jonathan Luna,False,False,True,1.0,True
34,218,2.04,APR151372,MERCY THOMPSON HOPCROSS JILLY,24.99,Dynamite,2017-03-01,"(W) Patricia Briggs, Rik Hoskin (A/CA) Tom Garcia","Patricia Briggs, Rik Hoskin",Tom Garcia,Tom Garcia,False,False,True,1.0,True
35,243,2.04,FEB111004,LA BANKS VAMPIRE HUNTRESS,16.99,Dynamite,2017-03-01,(W) La Banks (A) Gregory Titus (A/CA) Brett Booth,La Banks,"Gregory Titus,Brett Booth",Brett Booth,False,False,True,1.0,True
36,56,2.01,FEB140265-M,WATCHMEN,19.99,DC,2017-03-01,(W) Alan Moore (A/CA) Dave Gibbons,Alan Moore,Dave Gibbons,Dave Gibbons,False,False,True,1.0,False
37,64,2.01,DEC161098,UNBELIEVABLE GWENPOOL,17.99,Marvel,2017-03-01,"(W) Christopher Hastings (A) Irene Strychalsk, Gurihiru (CA) Helen Chen",Christopher Hastings,"Irene Strychalsk, Gurihiru",Helen Chen,False,False,False,2.0,False
38,132,2.0,JAN170782,CANNIBAL,9.99,Image,2017-03-01,"(W) Steve Buccellato, Jennifer Young (A/CA) Matias Bergara","Steve Buccellato, Jennifer Young",Matias Bergara,Matias Bergara,False,False,True,1.0,True
39,133,1.96,DEC160767,SEVEN TO ETERNITY,9.99,Image,2017-03-01,(W) Rick Remender (A/CA) Jerome Opena,Rick Remender,Jerome Opena,Jerome Opena,False,False,True,1.0,True
40,12,1.93,DEC160393,ZATANNA BY PAUL DINI,39.99,DC,2017-03-01,"(W) Paul Dini, Adam Beechen, Derek Fridolfs, Lilah Sturges (A) St?phane Roux, Chad Hardin, Jesus Saiz, Cliff Chiang, Jamal Igle, Rick Mays, Victor Ibanez, Wayne Faucher, Jonathan Sibal, Karl Story, John Dell, Robin Riggs, Travis Moore, Dustin Nguyen (CA) Adam Hughes","Paul Dini, Adam Beechen, Derek Fridolfs, Lilah Sturges","St?phane Roux, Chad Hardin, Jesus Saiz, Cliff Chiang, Jamal Igle, Rick Mays, Victor Ibanez, Wayne Faucher, Jonathan Sibal, Karl Story, John Dell, Robin Riggs, Travis Moore, Dustin Nguyen",Adam Hughes,False,False,False,1.0,False
41,69,1.89,OCT160292,FLASH,17.99,DC,2017-03-01,"(W) Joshua Williamson (A) Carmine Di Giandomenico, Neil Googe, Felipe Watanabe, Andrew Currie, Oclair Albert (CA) Karl Kerschl",Joshua Williamson,"Carmine Di Giandomenico, Neil Googe, Felipe Watanabe, Andrew Currie, Oclair Albert",Karl Kerschl,False,False,False,1.0,False
41,47,1.89,NOV161236,LUMBERJANES GOTHAM ACADEMY,19.99,Boom!,2017-03-01,"(W) Chynna Clugston Flores (A) Kelly Matthews, Rosemary Valero O Connell, Maddi Gonzalez, Jenna Ayoub, Nichole Matthews (CA) Mingjue Helen Chen",Chynna Clugston Flores,"Kelly Matthews, Rosemary Valero O Connell, Maddi Gonzalez, Jenna Ayoub, Nichole Matthews",Mingjue Helen Chen,False,False,False,1.0,True
43,156,1.87,MAR151596,VALIANT ZEROES & ORIGINS,19.99,Valiant,2017-03-01,"(W) James Asmus, Joshua Dysart, Tom Fowler, Justin Jordan, Matt Kindt, Peter Milligan, Fred Van Lente, Robert Venditti, Duane Swierczynski (A) ChrisCross, Tom Fowler, Clayton Henry, Robert Gill, J. G. Jones, Lewis LaRosa, Clay Mann, Cary Nord, Pere Perez, Bart Sears, Mico Suayan, Roberto De La Torre, Neil Edwards (CA) Emanuela Lupacchino","James Asmus, Joshua Dysart, Tom Fowler, Justin Jordan, Matt Kindt, Peter Milligan, Fred Van Lente, Robert Venditti, Duane Swierczynski","ChrisCross, Tom Fowler, Clayton Henry, Robert Gill, J. G. Jones, Lewis LaRosa, Clay Mann, Cary Nord, Pere Perez, Bart Sears, Mico Suayan, Roberto De La Torre, Neil Edwards",Emanuela Lupacchino,False,False,False,1.0,False
44,14,1.86,NOV140863,HAWKEYE BY MATT FRACTION AND DAVID AJA OMNIBUS,99.99,Marvel,2017-03-01,(W) Matt Fraction (A) Various (CA) David Aja,Matt Fraction,Various,David Aja,False,False,False,1.0,False
45,78,1.86,OCT160291,BATMAN,16.99,DC,2017-03-01,"(W) Tom King, Scott Snyder (A) Mikel Janin, Ivan Reis, Matt Batt Banning, Danny Miki, Sandra Hope, Scott Hanna, Joe Prado, Oclair Albert (A/CA) David Finch","Tom King, Scott Snyder","Mikel Janin, Ivan Reis, Matt Batt Banning, Danny Miki, Sandra Hope, Scott Hanna, Joe Prado, Oclair Albert,David Finch",David Finch,False,False,True,1.0,False
46,65,1.85,NOV161226,MIGHTY MORPHIN POWER RANGERS,16.99,Boom!,2017-03-01,"(W) Kyle Higgins, Steve Orlando (A) Hendry Prasetyo, Corin Howell, Thony Silas (CA) Goni Montes","Kyle Higgins, Steve Orlando","Hendry Prasetyo, Corin Howell, Thony Silas",Goni Montes,False,False,False,2.0,False
47,108,1.84,SEP160815,PAPER GIRLS,12.99,Image,2017-03-01,(W) Brian K. Vaughan (A) Matt Wilson (A/CA) Cliff Chiang,Brian K. Vaughan,"Matt Wilson,Cliff Chiang",Cliff Chiang,False,False,True,2.0,True
48,140,1.82,JAN170804,GLITTERBOMB,9.99,Image,2017-03-01,(W) Jim Zub (A) K. Michael Russell (A/CA) Djibril Morissette-Phan,Jim Zub,"K. Michael Russell,Djibril Morissette-Phan",Djibril Morissette-Phan,False,False,True,1.0,True
49,53,1.81,DEC140966,CAPTAIN AMERICA RETURN OF WINTER SOLDIER OMNIBUS,99.99,Marvel,2017-03-01,(W) Various (A) Various (CA) Steve Epting,Various,Various,Steve Epting,False,False,False,1.0,False
50,82,1.77,DEC160380,BATMAN BY BRIAN K VAUGHAN,16.99,DC,2017-03-01,"(W) Brian K. Vaughan (A) Rick Burchett, Scott Kolins, Karl Story, John Lowe, Dan Panosian, Drew Geraci, Marcos Martin, Mark Pennington (CA) Andy Owens (A/CA) Scott McDaniel",Brian K. Vaughan,"Rick Burchett, Scott Kolins, Karl Story, John Lowe, Dan Panosian, Drew Geraci, Marcos Martin, Mark Pennington,Scott McDaniel","Andy Owens,Scott McDaniel",False,False,True,1.0,False
51,99,1.76,MAR160684,SAGA,14.99,Image,2017-03-01,(W) Brian K. Vaughan (A/CA) Fiona Staples,Brian K. Vaughan,Fiona Staples,Fiona Staples,False,False,True,6.0,True
52,58,1.71,DEC161300,PROVIDENCE ACT 01,19.99,Avatar,2017-03-01,(W) Alan Moore (A/CA) Jacen Burrows,Alan Moore,Jacen Burrows,Jacen Burrows,False,False,True,1.0,True
53,150,1.7,JAN160645,PAPER GIRLS,9.99,Image,2017-03-01,(W) Brian K. Vaughan (A/CA) Cliff Chiang,Brian K. Vaughan,Cliff Chiang,Cliff Chiang,False,False,True,1.0,True
54,66,1.66,NOV160027,BPRD HELL ON EARTH,19.99,Dark Horse,2017-03-01,"(W) Mike Mignola, John Arcudi (A/CA) Laurence Campbell","Mike Mignola, John Arcudi",Laurence Campbell,Laurence Campbell,False,False,True,15.0,True
55,93,1.66,APR161078,WOLVERINE OLD MAN LOGAN,16.99,Marvel,2017-03-01,"(W) Jeff Lemire, Mark Millar (A) Steve McNiven (A/CA) Andrea Sorrentino","Jeff Lemire, Mark Millar","Steve McNiven,Andrea Sorrentino",Andrea Sorrentino,False,False,True,1.0,False
56,92,1.64,DEC160412,LUCIFER,16.99,DC,2017-03-01,(W) Holly Black (A) Lee Garbett (CA) Dave Johnson,Holly Black,Lee Garbett,Dave Johnson,False,False,False,2.0,False
57,157,1.62,DEC160774,SNOTGIRL,9.99,Image,2017-03-01,(W) Bryan Lee O'Malley (A/CA) Leslie Hung,Bryan Lee O'Malley,Leslie Hung,Leslie Hung,False,False,True,1.0,True
58,106,1.61,JAN170641,AFAR,14.99,Image,2017-03-01,(W) Leila Del Duca (A/CA) Kit Seaton,Leila Del Duca,Kit Seaton,Kit Seaton,False,False,True,1.0,True
59,23,1.58,DEC161108,DEADPOOL CLASSIC,34.99,Marvel,2017-03-01,(W) Various (A) Various (CA) Jason Pearson,Various,Various,Jason Pearson,False,False,False,17.0,False
60,26,1.57,DEC140946-M,STAR WARS MARVEL YRS OMNIBUS,125.0,Marvel,2017-03-01,(W) Various (A) Various (CA) Gene Day,Various,Various,Gene Day,False,False,False,2.0,False
61,36,1.56,DEC160383,TEEN TITANS BY GEOFF JOHNS,29.99,DC,2017-03-01,"(W) Geoff Johns, Judd Winick (A) Marlo Alquiza, Tom Grummett, Norm Rapmund, Kevin Conrad, Ivan Reis, Carlo Barberi, Marco Campos (CA) Lary Stucker (A/CA) Mike McKone","Geoff Johns, Judd Winick","Marlo Alquiza, Tom Grummett, Norm Rapmund, Kevin Conrad, Ivan Reis, Carlo Barberi, Marco Campos,Mike McKone","Lary Stucker,Mike McKone",False,False,True,1.0,False
62,28,1.55,APR150895,STAR WARS MARVEL YRS OMNIBUS,125.0,Marvel,2017-03-01,(W) Various (A) Various (CA) Tom Palmer,Various,Various,Tom Palmer,False,False,False,3.0,False
63,100,1.53,JAN170887,WAYWARD,16.99,Image,2017-03-01,(W) Jim Zub (A/CA) Steven Cummings,Jim Zub,Steven Cummings,Steven Cummings,False,False,True,4.0,True
64,102,1.52,DEC161100,POWER MAN AND IRON FIST,16.99,Marvel,2017-03-01,"(W) David Walker (A) Flaviano Armentaro, Scott Hepburn (A/CA) Sanford Greene",David Walker,"Flaviano Armentaro, Scott Hepburn,Sanford Greene",Sanford Greene,False,False,True,2.0,False
65,103,1.51,OCT161297,GIANT DAYS,14.99,Boom!,2017-03-01,"(W) John Allison (A) Max Sarin, Liz Fleming (CA) Lissa Treiman",John Allison,"Max Sarin, Liz Fleming",Lissa Treiman,False,False,False,4.0,False
66,19,1.49,DEC161114,NEW MUTANTS EPIC COLLECTION,39.99,Marvel,2017-03-01,"(W) Chris Claremont, Bill Mantlo (A) Various (CA) Bob McLeod","Chris Claremont, Bill Mantlo",Various,Bob McLeod,False,False,False,1.0,False
67,88,1.47,DEC161107,CARNAGE USA,19.99,Marvel,2017-03-01,(W) Zeb Wells (A/CA) Clayton Crain,Zeb Wells,Clayton Crain,Clayton Crain,False,False,True,1.0,False
68,20,1.41,DEC161109,WOLVERINE VS PUNISHER,39.99,Marvel,2017-03-01,(W) Various (A) Various (CA) Mike Deodato,Various,Various,Mike Deodato,False,False,False,1.0,False
69,22,1.4,JAN171126,X-MEN EPIC COLLECTION,39.99,Marvel,2017-03-01,(W) Various (A) Various (CA) Dave Cockrum,Various,Various,Dave Cockrum,False,False,False,1.0,False
70,75,1.4,OCT161479,TREADWATER,18.99,Dark Horse,2017-03-01,"(W) Morgan Rosenblum, Don Macnab Stark, Nat Prinzi (A/CA) Mingchen Shen","Morgan Rosenblum, Don Macnab Stark, Nat Prinzi",Mingchen Shen,Mingchen Shen,False,False,True,2.0,True
70,60,1.4,DEC140954,UNCANNY AVENGERS OMNIBUS,99.99,Marvel,2017-03-01,"(W) Rick Remender, Gerry Duggan (A) Oliver Coipel, Daniel Acuna, Adam Kubert, Salvador Larocca, Steve McNiven, Sanford Green, Paul Renaud (A/CA) John Cassaday","Rick Remender, Gerry Duggan","Oliver Coipel, Daniel Acuna, Adam Kubert, Salvador Larocca, Steve McNiven, Sanford Green, Paul Renaud,John Cassaday",John Cassaday,False,False,True,1.0,False
72,4,1.4,SEP161115,DAREDEVIL BY MARK WAID OMNIBUS,100.0,Marvel,2017-03-01,"(W) Mark Waid, Greg Rucka (A) Various (CA) Mike Allred","Mark Waid, Greg Rucka",Various,Mike Allred,False,False,False,1.0,False
73,113,1.39,NOV160317,BATMAN DETECTIVE,16.99,DC,2017-03-01,"(W) James TynionIV (A) Alvaro Martinez, Raul Fernandez, Al Barrionuevo (A/CA) Eddy Barrows, Eber Ferreira",James TynionIV,"Alvaro Martinez, Raul Fernandez, Al Barrionuevo,Eddy Barrows, Eber Ferreira","Eddy Barrows, Eber Ferreira",False,False,True,1.0,False
74,38,1.37,DEC161111,X-FACTOR EPIC COLLECTION,34.99,Marvel,2017-03-01,(W) Various (A) Various (CA) Ron Frenz,Various,Various,Ron Frenz,False,False,False,1.0,False
75,25,1.36,DEC161089,STAR WARS LEGENDS EPIC COLLECTION,39.99,Marvel,2017-03-01,(W) John Jackson Miller (A) Various (CA) Travis Charest,John Jackson Miller,Various,Travis Charest,False,False,False,2.0,False
76,43,1.35,APR150923-M,WEREWOLF BY NIGHT OMNIBUS,125.0,Marvel,2017-03-01,(W) Various (A) Various (CA) Mike Ploog,Various,Various,Mike Ploog,False,False,False,1.0,False
77,124,1.35,DEC161099,UNCANNY AVENGERS UNITY,15.99,Marvel,2017-03-01,"(W) Gerry Duggan (A) Ryan Stegman, Pepe Larraz (CA) Meghan Hetrick",Gerry Duggan,"Ryan Stegman, Pepe Larraz",Meghan Hetrick,False,False,False,3.0,False
78,39,1.33,DEC161110,WOLVERINE VS MARVEL UNIVERSE,34.99,Marvel,2017-03-01,(W) Various (A) Various (CA) Mark D. Bright,Various,Various,Mark D. Bright,False,False,False,1.0,False
79,120,1.32,OCT160297,SUPERMAN,16.99,DC,2017-03-01,"(W) Peter J. Tomasi, Patrick Gleason (A) Patrick Gleason, Jorge Jimenez, Mick Gray (A/CA) Doug Mahnke, Jaime Mendoza","Peter J. Tomasi, Patrick Gleason","Patrick Gleason, Jorge Jimenez, Mick Gray,Doug Mahnke, Jaime Mendoza","Doug Mahnke, Jaime Mendoza",False,False,True,1.0,False
80,40,1.32,DEC161103,AVENGERS AND X-MEN,34.99,Marvel,2017-03-01,(W) Rick Remender (A) Various (CA) Jim Cheung,Rick Remender,Various,Jim Cheung,False,False,False,1.0,False
81,72,1.32,NOV160060,DC COMICS DARK HORSE COMICS JUSTICE LEAGUE,24.99,Dark Horse,2017-03-01,"(W) Ron Marz, Peter David, John Ostrander (A) Pop Mhan, Todd Nauck, Rick Leonardi, Norman Lee, Jaime Mendoza, Mike Perkins, Igor Kordey (A/CA) Graham Nolan, Randy Elliott","Ron Marz, Peter David, John Ostrander","Pop Mhan, Todd Nauck, Rick Leonardi, Norman Lee, Jaime Mendoza, Mike Perkins, Igor Kordey,Graham Nolan, Randy Elliott","Graham Nolan, Randy Elliott",False,False,True,2.0,False
82,45,1.31,MAY150817,GUARDIANS OF GALAXY SOLO CLASSIC OMNIBUS,125.0,Marvel,2017-03-01,(W) Various (A) Various (CA) Alex Ross,Various,Various,Alex Ross,False,False,False,1.0,False
83,73,1.31,DEC160382,BATMAN & SUPERMAN IN WORLDS FINEST,24.99,DC,2017-03-01,"(W) Alvin Schwartz, Edmond Hamilton, Bill Finger (A) Curt Swan, Dick Sprang, Stan Kaye, John Fischetti, Charles Paris, Ray Burnley (CA) Michael Cho","Alvin Schwartz, Edmond Hamilton, Bill Finger","Curt Swan, Dick Sprang, Stan Kaye, John Fischetti, Charles Paris, Ray Burnley",Michael Cho,False,False,False,1.0,False
84,170,1.29,OCT160480,LOVE IS LOVE,9.99,IDW,2017-03-01,"(W) Phil Jimenez, Cat Staggs, Steve Orlando, Dennis Cowen, Paul Dini, Ming Doyle, Brian Michael Bendis, Emma Vicelli, Ed Luce, Kieron Gillen, Various (A) Phil Jimenez, Cat Staggs, Steve Orlando, Dennis Cowen, Paul Dini, Ming Doyle, Brian Michael Bendis, Emma Vicelli, Ed Luce, Kieron Gillen, Jay Edidin, Various (CA) Elsa Charretier","Phil Jimenez, Cat Staggs, Steve Orlando, Dennis Cowen, Paul Dini, Ming Doyle, Brian Michael Bendis, Emma Vicelli, Ed Luce, Kieron Gillen, Various","Phil Jimenez, Cat Staggs, Steve Orlando, Dennis Cowen, Paul Dini, Ming Doyle, Brian Michael Bendis, Emma Vicelli, Ed Luce, Kieron Gillen, Jay Edidin, Various",Elsa Charretier,False,False,False,1.0,True
85,121,1.28,DEC160378,AQUAMAN,16.99,DC,2017-03-01,"(W) Dan Abnett (A) Juan Castro, Vicente Cifuentes, John Dell (A/CA) Brett Booth, Norm Rapmund",Dan Abnett,"Juan Castro, Vicente Cifuentes, John Dell,Brett Booth, Norm Rapmund","Brett Booth, Norm Rapmund",False,False,True,8.0,False
85,122,1.28,OCT161295,OVER GARDEN WALL ONGOING,14.99,Boom!,2017-03-01,"(W) Jim Campbell, Amalia Levari (A) Cara McGee (A/CA) Jim Campbell","Jim Campbell, Amalia Levari","Cara McGee,Jim Campbell",Jim Campbell,False,False,True,1.0,False
87,77,1.28,SEP140917,FANTASTIC FOUR BY MATT FRACTION OMNIBUS,99.99,Marvel,2017-03-01,(W) Various (A) Various (CA) Mark Bagley,Various,Various,Mark Bagley,False,False,False,1.0,False
88,107,1.28,NOV160073,HENCHGIRL,17.99,Dark Horse,2017-03-01,(W) Kristen Gudsnuk (A/CA) Kristen Gudsnuk,Kristen Gudsnuk,Kristen Gudsnuk,Kristen Gudsnuk,False,False,True,1.0,True
89,9,1.26,SEP161117-M,MMW DAREDEVIL,75.0,Marvel,2017-03-01,(W) Various (A) Various (CA) Gil Kane,Various,Various,Gil Kane,False,False,False,11.0,False
90,48,1.26,APR120687,STAND OMNIBUS,150.0,Marvel,2017-03-01,(W) Roberto Aguirre-Sacasa (A) Mike Perkins (CA) TBD,Roberto Aguirre-Sacasa,Mike Perkins,TBD,False,False,False,1.0,False
91,116,1.25,NOV070226,BATMAN THE KILLING JOKE SPECIAL ED,17.99,DC,2017-03-01,(W) Alan Moore (A/CA) Brian Bolland,Alan Moore,Brian Bolland,Brian Bolland,False,False,True,1.0,False
92,127,1.24,NOV160320,WONDER WOMAN,16.99,DC,2017-03-01,"(W) Greg Rucka (A) Matthew Clark, Sean Parsons (A/CA) Liam Sharp",Greg Rucka,"Matthew Clark, Sean Parsons,Liam Sharp",Liam Sharp,False,False,True,1.0,False
93,52,1.23,AUG140892,STAR WARS MARVEL YRS OMNIBUS,125.0,Marvel,2017-03-01,(W) Various (A) Various (CA) Howard Chaykin,Various,Various,Howard Chaykin,False,False,False,1.0,False
94,83,1.23,NOV130704,X-MEN AGE OF APOCALYPSE OMNIBUS COMPANION,99.99,Marvel,2017-03-01,(W) Various (A) Various (CA) Adam Kubert,Various,Various,Adam Kubert,False,False,False,1.0,False
